NU_ANO_CENSO|CO_IES|NO_IES|SG_IES|CO_MANTENEDORA|NO_MANTENEDORA|TP_CATEGORIA_ADMINISTRATIVA|TP_ORGANIZACAO_ACADEMICA|CO_REGIAO|CO_UF|CO_MUNICIPIO|IN_CAPITAL|QT_TEC_TOTAL|QT_TEC_FUNDAMENTAL_INCOMP_FEM|QT_TEC_FUNDAMENTAL_INCOMP_MASC|QT_TEC_FUNDAMENTAL_COMP_FEM|QT_TEC_FUNDAMENTAL_COMP_MASC|QT_TEC_MEDIO_FEM|QT_TEC_MEDIO_MASC|QT_TEC_SUPERIOR_FEM|QT_TEC_SUPERIOR_MASC|QT_TEC_ESPECIALIZACAO_FEM|QT_TEC_ESPECIALIZACAO_MASC|QT_TEC_MESTRADO_FEM|QT_TEC_MESTRADO_MASC|QT_TEC_DOUTORADO_FEM|QT_TEC_DOUTORADO_MASC|IN_ACESSO_PORTAL_CAPES|IN_ACESSO_OUTRAS_BASES|IN_ASSINA_OUTRA_BASE|IN_REPOSITORIO_INSTITUCIONAL|IN_BUSCA_INTEGRADA|IN_SERVICO_INTERNET|IN_PARTICIPA_REDE_SOCIAL|IN_CATALOGO_ONLINE|QT_PERIODICO_ELETRONICO|QT_LIVRO_ELETRONICO|TP_REFERENTE|VL_RECEITA_PROPRIA|VL_RECEITA_TRANSFERENCIA|VL_RECEITA_OUTRA|VL_DESPESA_PESSOAL_DOCENTE|VL_DESPESA_PESSOAL_TECNICO|VL_DESPESA_PESSOAL_ENCARGO|VL_DESPESA_CUSTEIO|VL_DESPESA_INVESTIMENTO|VL_DESPESA_PESQUISA|VL_DESPESA_OUTRA
2019|1|UNIVERSIDADE FEDERAL DE MATO GROSSO|UFMT|1|FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO|1|1|5|51|5103403|1|1483|2|21|3|22|52|80|180|213|365|299|134|81|20|11|1||1|1|0|1|0|1|0|0|2|8075408.31|919015573.44|0.00|273790616.90|108949048.75|105012445.00|122578958.00|9606414.13|2512494.15|304641004.82
2019|2|UNIVERSIDADE DE BRASÍLIA|UNB|2|FUNDACAO UNIVERSIDADE DE BRASILIA|1|1|5|53|5300108|1|3233|0|0|11|39|200|249|304|391|820|652|261|208|57|41|1||1|1|1|1|1|1|51216|356305|2|42309485.04|63766319.01|53681013.45|843861323.93|0.00|287375615.81|210265895.61|23154904.42|10350582.30|473854910.33
2019|3|UNIVERSIDADE FEDERAL DE SERGIPE|UFS|3|FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE|1|1|2|28|2806701|0|1444|0|30|5|21|101|132|661|472|0|0|9|10|2|1|1||1|1|1|1|1|1|49339|277917|2|2064512.28|883685087.41|59978137.27|284769411.85|153337375.60|108034657.17|149160413.67|8212361.64|1445146.30|320418588.31
2019|4|UNIVERSIDADE FEDERAL DO AMAZONAS|UFAM|4|FUNDACAO UNIVERSIDADE DO AMAZONAS|1|1|1|13|1302603|1|1713|7|9|4|16|136|185|237|237|378|251|124|88|21|20|1||1|1|0|1|1|1|48155|4136|1|5603181.06|1063314898.42|1721653.86|448206222.23|0.00|132201005.75|183971171.89|12676251.59|1312837.53|68453298.55
2019|6|UNIVERSIDADE FEDERAL DE OURO PRETO|UFOP|6|UNIVERSIDADE FEDERAL DE OURO PRETO|1|1|3|31|3146107|0|1117|59|51|37|33|144|172|74|106|109|116|102|83|19|12|1||1|1|1|1|1|1|0|15000|2|5905654.74|499218511.41|30461740.62|169161732.76|58998771.15|40920865.82|49075498.59|73345.77|828200.00|216527492.70
2019|10|PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ|PUCPR|10|ASSOCIACAO PARANAENSE DE CULTURA - APC|5|1|4|41|4106902|1|1274|9|9|14|19|262|200|353|156|134|72|15|19|7|5|1||1|0|0|1|1|1|58080|23240|2|652351476.02|3361504.37|6311982.36|185080757.83|52202265.03|108865152.26|103892593.30|204568458.05|7415736.28|0.00
2019|11|UNIVERSIDADE CATÓLICA DE PERNAMBUCO|UNICAP|11|CENTRO DE EDUCACAO TECNICA E CULTURAL|5|1|2|26|2611606|1|467|1|9|0|7|70|89|109|87|47|30|3|13|0|2|1||0|0|0|1|1|1|173|9899|2|156854682|0.00|50456955.00|74852160.00|32069790.00|42261883.00|45473330.00|17408235.00|635600.00|3185575.00
2019|13|UNIVERSIDADE DE CAXIAS DO SUL|UCS|13|FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL|5|1|4|43|4305108|0|986|0|0|5|7|112|125|374|186|103|39|17|11|7|0|1||1|1|1|1|1|1|45000|13000|2|317830674.88|0.00|23340784.81|116640929.45|40981947.99|38592335.59|126240140.93|13363049.17|4143807.32|0.00
2019|14|UNIVERSIDADE DO VALE DO RIO DOS SINOS|UNISINOS|14|ASSOCIACAO ANTONIO VIEIRA|5|1|4|43|4318705|0|968|1|2|3|3|278|274|182|67|70|27|21|25|7|8|1||1|1|1|1|1|1|18738|90|2|412720706|48648435.00|69215817.00|132009348.00|36078384.00|45598881.00|102854805.00|8555525.00|14070742.00|32473758.00
2019|18|UNIVERSIDADE CATÓLICA DE PELOTAS|UCPEL|18|ASSOCIACAO PELOTENSE DE ASSISTENCIA E CULTURA|5|1|4|43|4314407|0|205|2|3|1|2|22|32|66|28|23|14|9|2|0|1|1||1|0|0|1|0|1|38|11000|2|113995940.85|0.00|5009556.06|29760939.73|10314831.92|6707597.48|249635.84|3410787.98|3085671.97|61818974.51
